FAC1,s1360,s1370,s1380,s1840,s1870,s1890,s1910,s1920,s2480,s2490,SR550650,SR650750
0.91375,0.06779,0.12134,0.11472,0.3914,0.95246,0.99319,0.88132,0.36497,0.25771,0.68763,1.21784,1.58838
0.74114,0.36765,0.3574,0.33624,0.73311,0.69733,0.55328,0.34372,0.45053,0.25003,0.62915,1.06398,1.13664
0.42557,0.09446,0.14275,0.15929,0.77569,0.25922,0.77246,0,0,0.23305,0.55409,1.16104,2.0093
0.62768,0.05951,0.09934,0.11907,0.58031,0.49508,0.62837,0.66679,0.83111,0.08416,0,1.2705,2.66985
0.66675,0.06751,0.10257,0.13183,0,0.90808,0.53118,0.66018,0.82459,0.12401,0.81469,1.29005,1.85948
0.26408,0.06017,0.10831,0.08622,0.29635,0.50478,0.72876,0.61864,0.49854,0.38354,0.52717,1.59012,1.39963
0.47497,0.06102,0.08473,0.09234,0.29411,0.4387,0.53341,0.5231,0.47177,0.13535,0.27601,1.15342,2.34463
1.92508,0.04977,0.0975,0.09746,0.39634,0.64751,0.69309,0.48619,0.48578,0.0811,0.19975,1.07225,1.77559
0.45457,0.07743,0.09272,0.09948,0.40463,0.47421,0.5477,0.54704,0.51273,0.44093,0.66325,1.19067,2.37582
0.28086,0.14701,0.17329,0.16686,0.51816,0.44253,0.64438,0.57177,0.83197,0.27549,0.16211,1.30381,2.05148
-0.06888,0.0952,0.17457,0.2193,0.80775,0.30865,0.706,0.6692,0.35752,0.70703,0.90379,1.24602,0.87068
-0.20167,0.07625,0.06998,0.03948,0.13597,0.01466,0.16909,0.12039,0.48824,0.28787,0.51077,0.83261,2.77596
0.15174,0.04454,0.02803,0.0392,0,0.34741,0.56807,0.1523,0.02791,0.08834,0.29199,0.99003,1.96194
0.12019,0.07409,0.06303,0.0324,0,0.45044,0.29544,0.05464,0.02211,0.05377,0.20653,0.98917,2.0685
2.06756,0.04996,0.02466,0.02201,0.68831,0.60157,0.2477,0.06696,0.01008,0.04041,0.3905,1.08152,0.92967
0.02853,0.04529,0.02289,0.03495,0.3655,0.26602,0.12987,0.08911,0.03523,0.03325,0.22268,1.00574,2.33877
0.02337,0.04129,0.02476,0.03208,0.67336,0.36757,0.27113,0.2913,0.03719,0.02432,0.22198,0.96719,2.17036
0.98282,0.04003,0.02139,0.02509,0.20731,0.63419,0.11195,0.09027,0.0253,0.03699,0.19898,1.134,1.83538
0.08069,0.03045,0.09296,0.04711,0.69578,0.29715,0.32004,0.14446,0.02341,0.24305,0.28385,1.02251,2.04858
-0.25978,0.04752,0.0577,0.06591,0,0.73645,0.49295,0.25382,0.04491,0.0686,0.16742,0.95658,1.81314
-0.69889,0.30627,0.48715,0.22177,0.24608,0.34316,0.52866,0.39858,0.19812,0.24109,0.31774,1.23782,2.3119
-0.59163,0.18411,0.4553,0.17418,0.31767,0.34128,0.47971,0.18752,0.10473,0.13225,0.001,1.16759,1.7092
1.82897,0.11535,0.14392,0.20274,0.5517,0.57035,0.81751,0.51511,0.37328,0.20914,0.566,1.19381,1.9496
1.9324,0.07129,0.13963,0.11604,0.88897,0.44896,0.44811,0.5223,0.4118,0.32585,0.26712,1.19266,2.01286
1.90876,0.07277,0.11094,0.14743,0.88907,0,0.38157,0.63224,0.69364,0.12257,0.17291,1.17245,2.13108
0.66302,0.09635,0.1761,0.19017,0.82414,0,0.54722,0.59164,0.6264,0.29026,0.41426,1.21475,1.23526
0.21679,0.08577,0.13226,0.3059,0.62448,0.77258,0.72975,0.48234,0.33434,0.1358,0.27975,1.32043,1.35109
-0.79048,0.11669,0.32313,0.26271,0.59881,0.28715,0.47796,0.37567,0.89288,0.54545,0.78649,1.3853,1.27302
0.77001,0.04742,0.04503,0.01234,0,0.14946,0.09529,0.10892,0.02232,0.25687,0.19153,0.94375,2.11905
1.77554,0.02497,0.01921,0.01334,0,0.71973,0.17609,0.17679,0.02113,0.17784,0.11687,0.97351,1.70289
0.95318,0.02347,0.01209,0.01243,0.21986,0.27949,0.02702,0.06315,0.00842,0.02021,0.25273,0.93362,1.65019
1.17885,0.02139,0.00909,0.00789,0.50444,0.23865,0.03617,0.04229,0.01742,0.02878,0.03776,0.91569,1.48611
-0.23089,0.02395,0.01192,0.01433,0.59228,0.34384,0.0468,0.07798,0.02706,0.16638,0.18298,0.95728,1.67291
-0.39235,0.03365,0.01935,0.01322,0.3542,0.27172,0.0823,0.12028,0.02714,0.07646,0.13078,0.95326,2.00568
-0.17831,0.02097,0.00858,0.01431,0.37807,0.06201,0.03639,0.04509,0.02053,0.05669,0.07295,1.02667,2.06482
-0.4551,0.03145,0.017,0.01795,0.70261,0.09976,0.0385,0.06225,0.01875,0.04061,0.23993,1.01938,1.53311
-0.51625,0.03558,0.02124,0.02156,0.50454,0.24059,0.08538,0.16959,0.0201,0.03278,0.11986,1.04225,1.69804
-1.21066,0.03465,0.03449,0.02403,0.39432,0.2115,0.33208,0.05519,0.01793,0.13713,0.33825,1.4243,2.13214
-1.14678,0.55158,0.44687,0.67373,0.34017,0.25341,0.75677,0.481,0.3289,0.61722,0.12391,1.94635,1.09068
-1.16741,0.30814,0.54309,0.34966,0.24113,0.34081,0.56665,0.34787,0.61887,0.08006,0.15793,2.021,1.0197
-1.16986,0.39189,0.4616,0.45463,0.55846,0.69689,0.79962,0.34192,0.45851,0.54017,0.57659,1.81331,1.06603
-1.12132,0.28633,0.46829,0.45248,0.54104,0.54995,0.7827,0.32065,0.51537,0.67746,0.62128,1.81181,1.15027
-1.18076,0.5316,0.6695,0.68238,0.77242,0.62976,0.38906,0.33896,0.54015,0.36767,0.36306,1.86862,1.0578
-1.16929,0.2617,0.54527,0.49187,0.35942,0.52502,0.48945,0.44447,0.48579,0.42788,0.48036,1.89472,1.10204
-1.10293,0.6247,0.22311,0.32003,0.55192,0.67432,0.59067,0.32675,0.001,0.22009,0.62264,1.6939,1.24666
-1.10339,0.26581,0.6025,0.27221,0.49057,0.3087,0.74152,0.33562,0.64087,0.65255,0.54609,1.73352,1.1452
-1.18782,0.30868,0.61486,0.57065,0.41282,0.21226,0.32856,0.28564,0.4462,0.58349,0.53413,1.43546,1.00462
-1.20785,0.45228,0.52665,0.45048,0.73001,0.44065,0.35558,0.23431,0.44024,0.75561,0.77498,1.72026,0.91121
-1.10926,0.33986,0.50712,0.55267,0,0.37085,0.61926,0.66299,0.2225,0.86284,0.61198,1.50861,1.22044
-1.05645,0.25056,0.57222,0.4435,0.8404,0.35738,0.46006,0.63228,0.2838,0.65513,0.42388,1.59082,1.27001
-0.98971,0.57855,0.6098,0.51931,0.31828,0.21651,0.23761,0.28444,0.55433,0.76585,0.56875,0.84976,1.63415
-1.14918,0.83559,0.6682,0.82462,0.54038,0.95685,0.26393,0.92193,0.46605,0.62083,0.4962,1.23957,1.36249
