FAC3,s1380,s1840,s1850,s1860,s1870,s1880,s1890,s1900,s1920,s2490,SR550650,SR650750
2.6049,0.11472,0.3914,0.52768,0.2694,0.95246,0.4509,0.99319,0,0.36497,0.68763,1.21784,1.58838
0.31067,0.33624,0.73311,0.64899,0.64736,0.69733,0.62365,0.55328,0.41624,0.45053,0.62915,1.06398,1.13664
-0.03773,0.15929,0.77569,0.33592,0.55588,0.25922,0.46808,0.77246,0.39723,0,0.55409,1.16104,2.0093
-0.61184,0.11907,0.58031,0.51302,0.64838,0.49508,0.81598,0.62837,0.44577,0.83111,0,1.2705,2.66985
-0.62545,0.13183,0,0.6583,0.70239,0.90808,0.87233,0.53118,0.30873,0.82459,0.81469,1.29005,1.85948
0.72123,0.08622,0.29635,0.55839,0.69849,0.50478,0.44981,0.72876,0.38182,0.49854,0.52717,1.59012,1.39963
0.07275,0.09234,0.29411,0.64505,0.53952,0.4387,0.56047,0.53341,0.35362,0.47177,0.27601,1.15342,2.34463
-2.05332,0.09746,0.39634,0.52792,0.7362,0.64751,0.48692,0.69309,0.79083,0.48578,0.19975,1.07225,1.77559
0.39496,0.09948,0.40463,0.30799,0.54964,0.47421,0.19722,0.5477,0.36174,0.51273,0.66325,1.19067,2.37582
-0.71713,0.16686,0.51816,0.68279,0.52016,0.44253,0,0.64438,0.34793,0.83197,0.16211,1.30381,2.05148
-0.43521,0.2193,0.80775,0,0.51031,0.30865,0.76253,0.706,0.87497,0.35752,0.90379,1.24602,0.87068
0.96812,0.03948,0.13597,0.38139,0.3633,0.01466,0.20249,0.16909,0.36167,0.48824,0.51077,0.83261,2.77596
1.07206,0.0392,0,0,0.40294,0.34741,0.14856,0.56807,0.37562,0.02791,0.29199,0.99003,1.96194
1.63339,0.0324,0,0.49769,0.71963,0.45044,0.06937,0.29544,0.77265,0.02211,0.20653,0.98917,2.0685
0.16575,0.02201,0.68831,0.41268,0.45104,0.60157,0.07553,0.2477,0.15845,0.01008,0.3905,1.08152,0.92967
0.97336,0.03495,0.3655,0.21067,0.43452,0.26602,0.17274,0.12987,0.32467,0.03523,0.22268,1.00574,2.33877
1.46602,0.03208,0.67336,0.44828,0.14275,0.36757,0.48172,0.27113,0.57703,0.03719,0.22198,0.96719,2.17036
-0.27631,0.02509,0.20731,0.66464,0.4568,0.63419,0.10191,0.11195,0.4633,0.0253,0.19898,1.134,1.83538
1.29888,0.04711,0.69578,0.4393,0.56461,0.29715,0.25295,0.32004,0.70868,0.02341,0.28385,1.02251,2.04858
2.18258,0.06591,0,0.40489,0.45106,0.73645,0.33897,0.49295,0.34695,0.04491,0.16742,0.95658,1.81314
-0.12701,0.22177,0.24608,0.54955,0.55714,0.34316,0,0.52866,0.20821,0.19812,0.31774,1.23782,2.3119
0.95916,0.17418,0.31767,0.30793,0.42763,0.34128,0.17182,0.47971,0.45665,0.10473,0.001,1.16759,1.7092
-1.67047,0.20274,0.5517,0.49515,0.44096,0.57035,0.40526,0.81751,0.52467,0.37328,0.566,1.19381,1.9496
-1.49924,0.11604,0.88897,0.50628,0.45687,0.44896,0.43381,0.44811,0.48349,0.4118,0.26712,1.19266,2.01286
-1.66106,0.14743,0.88907,0.44751,0.55054,0,0.91385,0.38157,0.18939,0.69364,0.17291,1.17245,2.13108
-1.15448,0.19017,0.82414,0.73801,0,0,0.52567,0.54722,0.52364,0.6264,0.41426,1.21475,1.23526
-0.74013,0.3059,0.62448,0.78161,0.5255,0.77258,0.72713,0.72975,0.39203,0.33434,0.27975,1.32043,1.35109
-0.80938,0.26271,0.59881,0.58543,0,0.28715,0.89043,0.47796,0.48663,0.89288,0.78649,1.3853,1.27302
0.02392,0.01234,0,0.36433,0.43857,0.14946,0.10357,0.09529,0.36907,0.02232,0.19153,0.94375,2.11905
0.63074,0.01334,0,0,0.38742,0.71973,0.22395,0.17609,0.53696,0.02113,0.11687,0.97351,1.70289
1.43774,0.01243,0.21986,0,0.55613,0.27949,0.02295,0.02702,0.45791,0.00842,0.25273,0.93362,1.65019
0.78737,0.00789,0.50444,0.27968,0.15828,0.23865,0.04832,0.03617,0.19957,0.01742,0.03776,0.91569,1.48611
1.46976,0.01433,0.59228,0.58193,0.38691,0.34384,0.0567,0.0468,0.21464,0.02706,0.18298,0.95728,1.67291
1.38443,0.01322,0.3542,0.26681,0.19953,0.27172,0.05184,0.0823,0.32713,0.02714,0.13078,0.95326,2.00568
0.29662,0.01431,0.37807,0.2851,0.30425,0.06201,0.06793,0.03639,0.08614,0.02053,0.07295,1.02667,2.06482
0.21416,0.01795,0.70261,0.54837,0.85043,0.09976,0.05028,0.0385,0.1473,0.01875,0.23993,1.01938,1.53311
-0.39038,0.02156,0.50454,0.35599,0.94626,0.24059,0.10159,0.08538,0.23994,0.0201,0.11986,1.04225,1.69804
-0.40276,0.02403,0.39432,0.62768,0.41335,0.2115,0.25082,0.33208,0.35099,0.01793,0.33825,1.4243,2.13214
-0.55065,0.67373,0.34017,0.45053,0.24141,0.25341,0.64322,0.75677,0.65479,0.3289,0.12391,1.94635,1.09068
-0.5804,0.34966,0.24113,0.56329,0.9447,0.34081,0.61729,0.56665,0.9968,0.61887,0.15793,2.021,1.0197
-0.50078,0.45463,0.55846,0.45904,0.51885,0.69689,0.62118,0.79962,0.85288,0.45851,0.57659,1.81331,1.06603
-0.65561,0.45248,0.54104,0.28786,0.30601,0.54995,0.55094,0.7827,0.31766,0.51537,0.62128,1.81181,1.15027
-0.51663,0.68238,0.77242,0.44392,0.42673,0.62976,0.39692,0.38906,0.49219,0.54015,0.36306,1.86862,1.0578
-0.54726,0.49187,0.35942,0.64434,0.79611,0.52502,0.34477,0.48945,0.70131,0.48579,0.48036,1.89472,1.10204
-0.65218,0.32003,0.55192,0.50727,0.40028,0.67432,0.69585,0.59067,0.48032,0.001,0.62264,1.6939,1.24666
-0.61888,0.27221,0.49057,0.40526,0.30573,0.3087,0.84643,0.74152,0.3201,0.64087,0.54609,1.73352,1.1452
-0.55486,0.57065,0.41282,0.28302,0.24719,0.21226,0.39445,0.32856,0.26292,0.4462,0.53413,1.43546,1.00462
-0.53347,0.45048,0.73001,0.54076,0.34008,0.44065,0.56131,0.35558,0.17076,0.44024,0.77498,1.72026,0.91121
-0.62935,0.55267,0,0.47517,0.43262,0.37085,0.72663,0.61926,0.17983,0.2225,0.61198,1.50861,1.22044
-0.49712,0.4435,0.8404,0.35389,0.39651,0.35738,0.3037,0.46006,0.23313,0.2838,0.42388,1.59082,1.27001
-0.59114,0.51931,0.31828,0.71408,0.44057,0.21651,0.42465,0.23761,0.39148,0.55433,0.56875,0.84976,1.63415
-0.42837,0.82462,0.54038,0.47575,0.25302,0.95685,0.7085,0.26393,0.7576,0.46605,0.4962,1.23957,1.36249
